feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Bacteroides	group	IBS-D	-3.59887455996899	0.355954544284069	62	14	1.40786712587509e-14	9.43270974336313e-13
g__Pseudomonas	group	IBS-D	3.65783538491086	0.468556620786048	62	51	1.04795695084556e-10	3.51065578533264e-09
g__Campylobacter	group	IBS-D	-2.69857235540996	0.485013662829269	62	57	6.48418157010418e-07	1.44813388398993e-05
g__Fretibacterium	group	IBS-D	-1.74326145152763	0.351055107513852	62	9	5.99222156745018e-06	0.000100369711254791
g__Lautropia	group	IBS-D	-2.95549565689422	0.636050514334727	62	50	1.89349772389598e-05	0.000253728695002062
g__Rothia	group	IBS-D	-2.03603947527387	0.474205875571574	62	62	6.52104543413052e-05	0.000728183406811241
g__Chloroplast	group	IBS-D	-2.20333914153631	0.602573434447777	62	12	0.000540047973133242	0.0051690305999896
g__Mobiluncus	group	IBS-D	-0.87306574329019	0.250870339081707	62	8	0.000940118698806394	0.00787349410250355
g__Peptostreptococcus	group	IBS-D	1.76190703405593	0.544904135638761	62	61	0.0019898110199919	0.0148130375932731
g__Lentimicrobium	group	IBS-D	-1.55637523348585	0.600335923813526	62	24	0.0119504898182749	0.080068281782442
g__Alloprevotella	group	IBS-D	1.09294967366431	0.433085096120437	62	62	0.0142808013135215	0.0869830625459946
g__Dialister	group	IBS-D	-1.88148083440888	0.765355985649341	62	31	0.0168633070622736	0.0941534644310274
g__Rikenellaceae_RC9_gut_group	group	IBS-D	-0.820731051085379	0.353327850713212	62	10	0.0235953956433704	0.116756941314952
g__Parvimonas	group	IBS-D	2.06918329002474	0.896091686599041	62	55	0.0243969728120795	0.116756941314952
g__Oribacterium	group	IBS-D	-0.787077866196737	0.347403397874578	62	62	0.0270977378058577	0.121036562199498
g__Alysiella	group	IBS-D	-1.16169131884622	0.5508773395054	62	23	0.0391447676041279	0.138036812077714
g__F0058	group	IBS-D	-1.39198381716136	0.64782166786589	62	23	0.0357021981370471	0.138036812077714
g__Defluviitaleaceae_UCG.011	group	IBS-D	-1.30082700893785	0.610344440472531	62	24	0.0371703210152063	0.138036812077714
g__Catonella	group	IBS-D	-0.872162019521161	0.4119433911836	62	61	0.0383982902276662	0.138036812077714
g__.Eubacterium._brachy_group	group	IBS-D	-0.728006968270968	0.35630187147252	62	9	0.045428719691354	0.152186210966036
Unclassified_f__Selenomonadaceae	group	IBS-D	-0.61608452646171	0.323707262090367	62	10	0.0618130867194475	0.197213181438237
